,Vehicle,Range (km)
0,Mercedes-Benz EQS 450+,690
1,Lucid Air Grand Touring,665
2,Mercedes-Benz EQS 450 4MATIC,660
3,Mercedes-Benz EQS 500 4MATIC,645
4,Mercedes-Benz EQS 580 4MATIC,640
5,Mercedes-Benz EQS AMG 53 4MATIC+,585
6,Lucid Air Touring,580
7,Tesla Model S Dual Motor,575
8,Lucid Air Pure RWD,565
9,Porsche Taycan Plus,560
10,Tesla Model S Plaid,560
11,Mercedes-Benz EQE 350+,555
12,Porsche Taycan 4S Plus,550
13,Mercedes-Benz EQS SUV 450+,540
14,Mercedes-Benz EQS SUV 450 4MATIC,530
15,Mercedes-Benz EQS SUV 500 4MATIC,530
16,Mercedes-Benz EQS SUV 580 4MATIC,530
17,Lotus Emeya,530
18,Lotus Emeya S,530
19,Zeekr 001 Long Range RWD,525
20,Mercedes-Benz EQE 300,525
21,Audi Q8 e-tron Sportback 55 quattro,525
22,VinFast VF 9 Extended Range,520
23,Volkswagen ID.7 Pro S,520
24,Porsche Taycan Turbo,520
25,BMW i7 eDrive50,520
26,Porsche Taycan Plus Sport Turismo,515
27,BMW i4 eDrive40,515
28,Mercedes-Benz EQE 350 4MATIC,515
29,Volkswagen ID.7 Tourer Pro S,510
30,BMW i7 xDrive60,510
31,Fisker Ocean Ultra,510
32,Peugeot e-3008 98 kWh Long Range,510
33,Porsche Taycan 4 Cross Turismo,505
34,Porsche Taycan 4S Cross Turismo,505
35,Mercedes-Benz EQE 500 4MATIC,505
36,BMW iX xDrive50,505
37,NIO ET7 100 kWh,505
38,Audi Q8 e-tron 55 quattro,505
39,Porsche Taycan Turbo S,500
40,Zeekr 001 Performance AWD,500
41,Tesla Model 3 Long Range Dual Motor,500
42,BYD SEAL 82.5 kWh RWD Design,500
43,NIO ET5 100 kWh,500
44,XPENG P7 RWD Long Range,495
45,Polestar 4 Long Range Single Motor,495
46,Porsche Taycan 4S Plus Sport Turismo,495
47,Porsche Taycan Turbo Cross Turismo,495
48,Zeekr 001 Privilege AWD,495
49,Hyundai IONIQ 6 Long Range 2WD,495
50,Lotus Eletre,495
51,Renault Scenic E-Tech EV87 220hp,490
52,Mercedes-Benz EQS SUV Maybach 680,490
53,BMW i7 M70 xDrive,490
54,Peugeot e-5008 98 kWh Long Range,490
55,XPENG G6 RWD Long Range,490
56,BMW i4 xDrive40,490
57,Fisker Ocean Extreme,490
58,BYD SEAL 82.5 kWh AWD Excellence,490
59,Polestar 3 Long Range Dual motor,490
60,Porsche Macan 4 Electric,485
61,Porsche Taycan,485
62,BMW iX M60,485
63,NIO ET5 Touring 100 kWh,485
64,Voyah Free 106 kWh,480
65,Lotus Eletre S,480
66,XPENG G9 RWD Long Range,480
67,Porsche Macan Turbo Electric,480
68,XPENG G6 AWD Performance,480
69,Audi Q6 e-tron performance,480
70,Skoda Enyaq Coupe 85,480
71,Audi SQ8 e-tron Sportback,480
72,Ford Mustang Mach-E ER RWD,480
73,Porsche Taycan 4S,475
74,Porsche Taycan Turbo S Cross Turismo,475
75,Porsche Taycan Turbo GT,475
76,Porsche Taycan Turbo GT Weissach,475
77,Tesla Model X Dual Motor,475
78,Volkswagen ID.7 GTX,475
79,BYD HAN,475
80,Mercedes-Benz EQE SUV 350+,475
81,Polestar 2 Long Range Single Motor,470
82,Volkswagen ID.7 Pro,470
83,Porsche Taycan Turbo Sport Turismo,470
84,Lotus Emeya R,470
85,BMW i5 eDrive40 Sedan,470
86,Polestar 3 Long Range Performance,470
87,Skoda Enyaq Coupe 85x,470
88,XPENG G9 AWD Performance,465
89,Polestar 4 Long Range Dual Motor,465
90,Volkswagen ID.7 Tourer GTX,465
91,Tesla Model 3 Performance,465
92,Rolls-Royce Spectre,465
93,Volvo EX90 Twin Motor,465
94,Hongqi E-HS9 120 kWh,460
95,XPENG P7 AWD Performance,460
96,Porsche Taycan Turbo S Sport Turismo,460
97,Volkswagen ID.7 Tourer Pro,460
98,CUPRA Born VZ,460
99,Audi Q6 e-tron quattro,460
100,Volkswagen ID.3 GTX,460
101,Volkswagen ID.3 GTX Performance,460
102,Tesla Model Y Long Range RWD,460
103,Volvo EX90 Single Motor,460
104,Mercedes-Benz EQE SUV 500 4MATIC,455
105,XPENG P7 Wing Edition,455
106,Volkswagen ID.3 Pro S - 4 Seats,455
107,BMW i5 xDrive40 Sedan,455
108,BMW i5 eDrive40 Touring,455
109,Tesla Model X Plaid,455
110,Lotus Eletre R,455
111,Skoda Enyaq Coupe RS,455
112,Audi SQ8 e-tron,455
113,Volkswagen ID.5 Pro,455
114,Nissan Ariya 87kWh,450
115,Polestar 2 Long Range Dual Motor,450
116,Polestar 2 Long Range Performance,450
117,Kia EV9 99.8 kWh RWD,450
118,BMW i4 M50,450
119,Mercedes-Benz EQE AMG 43 4MATIC,450
120,Mercedes-Benz EQE AMG 53 4MATIC+,450
121,Volkswagen ID.3 Pro S,450
122,Kia EV3 Long Range,450
123,CUPRA Tavascan Endurance,450
124,Skoda Enyaq 85,450
125,CUPRA Born 170 kW - 77 kWh,450
126,Volvo EX90 Twin Motor Performance,450
127,Mercedes-Benz EQE SUV 300,450
128,Porsche Taycan Sport Turismo,445
129,Audi SQ6 e-tron,445
130,Audi Q8 e-tron Sportback 50 quattro,445
131,Volkswagen ID.4 Pro,445
132,Ford Mustang Mach-E ER AWD,445
133,Genesis G80 Electrified Luxury,440
134,Hyundai IONIQ 6 Long Range AWD,440
135,Skoda Enyaq 85x,440
136,Kia EV9 99.8 kWh AWD,435
137,Tesla Model Y Long Range Dual Motor,435
138,NIO EL6 100 kWh,435
139,Audi Q4 Sportback e-tron 45,435
140,Skoda Enyaq RS,435
141,Volkswagen ID.4 Pro 4MOTION,435
142,Mercedes-Benz EQE SUV 350 4MATIC,435
143,Porsche Taycan 4S Sport Turismo,430
144,Ford Explorer Extended Range RWD,430
145,Ford Explorer Extended Range AWD,430
146,BMW i4 eDrive35,430
147,MG Cyberster Trophy,430
148,CUPRA Tavascan VZ,430
149,Volkswagen ID.5 GTX,430
150,NIO EL7 100 kWh,430
151,VinFast VF 8 Eco Extended Range,425
152,VinFast VF 8 Plus Extended Range,425
153,MG MG4 Electric 77 kWh,425
154,Kia EV9 99.8 kWh AWD GT-Line,425
155,Audi Q8 e-tron 50 quattro,425
156,Ford Mustang Mach-E GT,425
157,Maserati GranTurismo Folgore,420
158,Volvo EC40 Single Motor ER,420
159,BMW i5 M60 xDrive Sedan,420
160,Mercedes-Benz EQA 250+,420
161,Audi Q4 e-tron 45,420
162,Volkswagen ID.4 GTX,420
163,BMW i5 M60 xDrive Touring,415
164,Tesla Model Y Performance,415
